id,pop,lat,lon,year,sex,age,svl,weight,species
AA24187,Gundaroo,-35.3504336,149.3362601,2009,F,,NA,NA,Tympanocryptis lineata
AA24261,Royalla,-35.50498713,149.1887013,2010,M,SA,41,3.41,Tympanocryptis lineata
AA24349,Gundaroo,-35.32740232,149.3313844,2014,M,A,80.3,5.82,Tympanocryptis lineata
AA24350,Tuggeranong,-35.45459777,149.0688446,2014,M,A,61.8,4.56,Tympanocryptis lineata
AA24001,Gundaroo,-35.33321994,149.3330153,2006,NA,J,31,2.83,Tympanocryptis lineata
AA24298,Googong,-35.44220324,149.2297901,2013,UK,J,25.8,3.38,Tympanocryptis lineata
AA24299,Googong,-35.4421175,149.2411223,2013,M,A,72.9,6.49,Tympanocryptis lineata
AA24361,Googong,-35.42429564,149.2240728,2015,U,J,26,3.01,Tympanocryptis lineata
AA24151,Royalla,-35.48432216,149.1800843,2008,J,NA,NA,NA,Tympanocryptis lineata
AA24108,Royalla,-35.5007833,149.1804754,2007,U,NA,NA,NA,Tympanocryptis lineata
AA24109,Royalla,-35.48027813,149.1640179,2007,U,NA,NA,NA,Tympanocryptis lineata
AA24262,Gundaroo,-35.34270303,149.3239127,2010,F,A,53.2,6.25,Tympanocryptis lineata
AA24188,Royalla,-35.49201257,149.1694113,2009,F,,NA,NA,Tympanocryptis lineata
AA24300,Googong,-35.45764368,149.2237149,2013,M,SA,44.1,4.28,Tympanocryptis lineata
AA24002,Gundaroo,-35.34736548,149.3592111,2006,NA,J,37.5,2.67,Tympanocryptis lineata
AA24301,Googong,-35.43211178,149.2270694,2013,UK,SA,46.8,4.35,Tympanocryptis lineata
AA24302,Googong,-35.42367645,149.2473378,2013,UK,SA,41.6,4.15,Tympanocryptis lineata
AA24362,Googong,-35.45303097,149.2302346,2015,U,J,26.4,2.52,Tympanocryptis lineata
AA24152,Royalla,-35.49046135,149.1810469,2008,J,NA,NA,NA,Tympanocryptis lineata
AA24110,Royalla,-35.50084449,149.1735478,2007,U,NA,NA,NA,Tympanocryptis lineata
AA24111,Gundaroo,-35.3190413,149.3376661,2007,U,NA,NA,NA,Tympanocryptis lineata
AA24263,Gundaroo,-35.32103064,149.3280519,2010,M,SA,40.3,3.02,Tympanocryptis lineata
AA24189,Royalla,-35.51019975,149.1608382,2009,J,,NA,NA,Tympanocryptis lineata
AA24003,Gundaroo,-35.32194288,149.3395553,2006,M,SA,44.2,3.93,Tympanocryptis lineata
